# prefix,country_code,region_code,city,zip(empty as per rfc8805)

# geo
2a14:6f42:1416::/48,CA,CA-ON,Toronto,
2a14:6f42:1848::/48,US,US-NJ,Piscataway,
2a14:6f42:1913::/48,US,US-MO,Kansas City,
2a14:6f42:1929::/48,US,US-NY,New York City,
2a14:6f42:4420::/48,GB,GB-TWH,London,
2a14:6f42:4421::/48,GB,GB-TWH,London,
2a14:6f42:4680::/48,SE,SE-AB,Stockholm,
2a14:6f42:4722::/48,NO,NO-30,Lorenskog,
2a14:6f42:4930::/48,DE,DE-BE,Berlin,
2a14:6f42:4969::/48,DE,DE-HE,Frankfurt,
2a14:6f42:6127::/48,AU,AU-NSW,Sydney,

# aviary
2a14:6f40::/32,DE,DE-BE,Berlin,
199.16.241.0/24,DE,DE-BE,Berlin,

# cust
2a14:6f44:cafe::/48,GB,GB-TWH,London,
2a14:6f44:ede8::/48,DE,DE-HE,Frankfurt,
